Unnamed: 0,x_i,x_j,Label
103,"no , i think im okay for now","I'm not sure if I'm going to be able to get back to the game, but I'm going to try to get back to the game.",GPT_NEO
104,the sufferers turned blue-black with,the help of a couple of the most beautiful and beautiful women.,GPT_NEO
105,you and the sword of light,", and the sword of the light,",GPT_NEO
106,you have enough to think about and our relationship,with the world.,GPT_NEO
107,the other vampire held out a bundle to,him.,GPT_NEO
108,the man had been leaving a crime,"scene, and the police were  not going to arrest him.",GPT_NEO
109," relax , allyson , ''",''  ''  ''  ''  ''  ''  ''  ''  ''  ''  ''  ''  ''  '',GPT_NEO
110,"that would have been bad , but this","is the way it is, and it is not the way it is,",GPT_NEO
111,"the trees , islands , and even the",ea.,GPT_NEO
112,he traced the word with his,finger.,GPT_NEO
113, we 'll walk the rest of,"the way to the next town, and I'll be there to help you.",GPT_NEO
114,where in the hell do you get off,"?"" ""I don't know.",GPT_NEO
115,"the closer we got to callum , the",more we thought about it.,GPT_NEO
116,"'as the head of al mokhabarat , i","am a member of the al mokhabarat, i am a member of the al mokhabarat,",GPT_NEO
117, you were just asking me,"to do it, and I was just asking you to do it.",GPT_NEO
118,that had been their destination just before the,attack.,GPT_NEO
119,"she held up her hands , palms out in",front of her face.,GPT_NEO
120,a plastic container of what looked like curry hadnt,been used.,GPT_NEO
121,maybe because they looked at him and,"said, ""You're not going to be able to do this.",GPT_NEO
122,"nathan bought good stuff , name-brand chocolate ,","nd he was a great guy, but he was a little bit of a jerk,",GPT_NEO
123," god , i 'm","little bit scared of the dark side of the world, but i'm not afraid of the dark side of the world,",GPT_NEO
124,sofia gave a weak nod but,the man was still there.,GPT_NEO
125,and so the elders received the youngling and,the elders received the youngling.,GPT_NEO
126,i seriously think that someone,who is a bit of a dick is going to be a lot more likely to get a job than someone who is a bit of a dick.,GPT_NEO
127, sounds like i hit,the button and it goes to the right.,GPT_NEO
128,there is no guidebook on how to be,a good teacher.,GPT_NEO
129, you were supposed to,"be a good guy, but I was wrong.",GPT_NEO
130,so far all he 's done is gesture,and he is not to be,GPT_NEO
131,she put as much love into opening the,door to the world as she could.,GPT_NEO
132,only a dork would have gone out of,the game.,GPT_NEO
133,she was reacting like,a child.,GPT_NEO
134,"we stood on stage ,",and I was so happy to see him.,GPT_NEO
135,"i stood there , in shock","and said, ""I'm sorry,",GPT_NEO
136," i gave it to someone else , someone",who is not a fan of the game and is not a fan of the game.,GPT_NEO
137,he said nothing as,to the nature of the problem.,GPT_NEO
138,i lounged back in the chair and kicked out,of the room.,GPT_NEO
139,"the world lurched , and",the world was still.,GPT_NEO
140," no , i do n't , ''","'m not sure if this is the right way to go about it, but I'm not sure how to go about it.",GPT_NEO
141,i 'll call you in,"the morning, and I'll call you in the evening.",GPT_NEO
142,ryan 's hands were bloody from his,own blood.,GPT_NEO
143,if archer was valerie 's version of a,s,GPT_NEO
144,"he expected the cabin to smell musty ,",but the cabin was not.,GPT_NEO
145," you drink blood all the time , ''","""I'm not a doctor, I'm a lawyer.",GPT_NEO
146,"i asked , hoping",to get a better idea of what he was talking about.,GPT_NEO
147,felt the answer in your,head.,GPT_NEO
148, the master has promised that there shall be blood,on his hands.,GPT_NEO
149,"hell , he thought as he reached for",his pipe.,GPT_NEO
150,i wanted it to,be a little more specific.,GPT_NEO
151,was that who called,"him, and who said, ""I'm not going to call you.",GPT_NEO
152,i yelled as i banged,on the door.,GPT_NEO
153,he 'd been so busy that day that he,didn't even know what he was doing.,GPT_NEO
154,she almost wished the performance was taped so,that she could see the  sounds of the orchestra.,GPT_NEO
155,tom probably felt as if he 'd solved,the problem' and 'didn't want to be bothered' by the police.,GPT_NEO
156,"magnus could n't read human thoughts , but",t's not a bad idea to do it.,GPT_NEO
157, you are not here to ask,for help.,GPT_NEO
158," wellington has smashed marmont ,",and the other two are in the same category.,GPT_NEO
159, i was not so invested in,the game.,GPT_NEO
160,"launching into action , barrett ducked as robert 's",yes on the screen.,GPT_NEO
161,sienna picked up on the change in my,mind.,GPT_NEO
162,"he growled , shouldering her aside","""I'm sorry, I'm sorry,"" she said.",GPT_NEO
163,"according to drew , the last",of the three.,GPT_NEO
164,he played with the phonograph for the space of,a few years.,GPT_NEO
165,maybe it was because she just didnt fully understand,what was going on.,GPT_NEO
166, i have never been able,to find a way to get the data from the database.,GPT_NEO
167,i know that you 're,not going to be able to do that.,GPT_NEO
168, you 've picked up the rebound technique,and I'm sure you'll be pleased with it.,GPT_NEO
169,the debris in the hallway has been swept,away.,GPT_NEO
170, give a girl some,place.,GPT_NEO
171,"move , devin , '' jason snarled ,","jason snarled, '' jason snarled,",GPT_NEO
172,the red clan had the most trouble,with the  defence of the government.,GPT_NEO
173,"when they made the rules , they",were not allowed to use the same rules as the other players.,GPT_NEO
174,we 'd had a great lunch at a,"local restaurant, and I was willing to go to the cinema to see the movie.",GPT_NEO
175, that first year '' - when you,"'re not in the mood for a drink, you can get a drink at the bar.",GPT_NEO
176, we 're getting ready to do,some work on the new '90s.,GPT_NEO
177,he was younger in the photo,", but he was still a young man.",GPT_NEO
178,"when i wake , we 've landed in amsterdam and",e are in the city of Amsterdam.,GPT_NEO
179,"a growl rose from rio 's throat ,","nd the  "" _I_'s _I_'s _I_'s _I_'s _I_'s _I_'s _I_ '",GPT_NEO
180,i would not have her,".  ""I'm sorry, but I'm not going to be able to help you,",GPT_NEO
181,"he closed his eyes , wanting his other",hand to be on the table.,GPT_NEO
182,"just do what i say ,","i will be back in a few days  I have a question about the ""how to"" of the ""how to"" of the ""how to"" of the ""how to"" of the ""how to""",GPT_NEO
183,for most of the summer they had to act without,a lot of help from the local community.,GPT_NEO
184,"he wanted you to doubt yourself , to think you","are a good person, to think you are a good person,",GPT_NEO
185,then she winks at me and adjusts her arms so,I can see her face.,GPT_NEO
186,"more families , young families , are",he most important people in the world.,GPT_NEO
187, what the hell did,"he do?"" ""I don't know.",GPT_NEO
188,"at one time , i might 've hesitated","o say that, but i have to say that,",GPT_NEO
189,no less than one hundred and thirty eight,thousand dollars.,GPT_NEO
190,her refusal to allow me access is sharp,".  I have been in the business for a long time,",GPT_NEO
191,"we joined the others , and just as","we were about to leave, a man came up to us and said, ""I'm sorry, but I don't know what you're doing.",GPT_NEO
192,"at first , i had thought that by","the time I got to the end of the book, I would have to go back to the beginning.",GPT_NEO
193,"abruptly , the omega 's hood lifted ,","d the hood was lifted again, and the hood was lifted again,",GPT_NEO
194,"there was murder in wallaces eyes , retribution for",the murder of the man who had been killed by the police.,GPT_NEO
195,but some part of me wonders what it would be,like to be a,GPT_NEO
196, the necromancer ... '' she was,a little bit like a little girl.,GPT_NEO
197,"but your holiness , is it","not the holiness of God, that you are the holiness of God?  I have been reading the Bible and I have been reading the Bible.",GPT_NEO
198,they were being pressed into the corridor and,the crowds were being pushed into the corridor.,GPT_NEO
199," no , there 's",way to do it.,GPT_NEO
200,"she jolted up in bed , her eyes wide","with fear, her body trembling with fear,",GPT_NEO
201,"he gave her a healthy grin , snow",lakes and a smile.,GPT_NEO
202,natalies heart raced and,the  “‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘,GPT_NEO
203, what 'd he,"was, and he was a man of the world,",GPT_NEO
204,i kissed up one thigh and down,the other.,GPT_NEO
205,there 's no shame in her game and,she's not going to be the one to do it.,GPT_NEO
206,"part of him , the sane part ,","he rational part, the rational part,",GPT_NEO
207,the three boys howled at something,that was not their fault.,GPT_NEO
208,lily said aaron fled,".  ""I'm sorry,"" said the girl,",GPT_NEO
209,"this becomes the way to imprison/sequester the worst criminals ,",and the way to prevent the worst criminals from being caught.,GPT_NEO
210,what about a large,", well-equipped,",GPT_NEO
211,"now with the kids grown up , michelle","and i were in the middle of a big game and we were playing a game of basketball, we were playing a game of basketball,",GPT_NEO
212,"clouds drifting in the sky ,",and the sky is filled with stars.,GPT_NEO
213,"julian slouched back in his seat , idly",watching the sun rise over the horizon.,GPT_NEO
214,the horus remained fixed in place on the,"ground, and the cannon was thrown into the water.",GPT_NEO
215,"meanwhile , my son 's telling me how",o do it.,GPT_NEO
216,which made him feel like dirt-but he had,to be careful.,GPT_NEO
217,all anyone knew for certain was that elizabeth,was a woman.,GPT_NEO
218,it was a lesson,"in how to use the word ""sad"" in the context of the word ""sad"" in the context of the word ""sad"" in the context of the word ""sad"" in the context of the word",GPT_NEO
219,"i said , you could be",a little bit more careful with your eyes.,GPT_NEO
220,even under the dim lights of the,"city, and the  “trees” of the city.",GPT_NEO
221,i grab a stack of score sheets and a,stack of score sheets.,GPT_NEO
222, only elves can access,the game.,GPT_NEO
223,it might be scaring her,".  ""I'm sorry,"" she said. ""I didn't mean to hurt you.""  ""I'm sorry,",GPT_NEO
224,they think youre worse than,the rest of us.,GPT_NEO
225,"they gawked at our little building , obviously concerned",about the safety of our children.,GPT_NEO
226,the three mingled in,the room.,GPT_NEO
227, your mother willna let ye come,"to her, and she willna let ye come to her,",GPT_NEO
228,ernests immediate consent to accompany her on this,journey.,GPT_NEO
229,there is a simple way,to get the data from the database.,GPT_NEO
230,'did you have an,"idea of what I'm talking about?""  ""I'm not sure I can do that,"" she said.",GPT_NEO
231," there you are , '' he said","''  ""I'm not going to tell you what I'm going to do, '' he said.",GPT_NEO
232,the letters were fadedmight have been a c,"ork, but it was a cork, and the letters were faded.",GPT_NEO
233, i can and i 'm going,to be a little bit more careful with my own life.,GPT_NEO
234,"two blocks from the festival , the lassiters",were also the first to be invited to the festival.,GPT_NEO
235,"he did n't appear lethargic , and he",as not a man to be,GPT_NEO
236, so ... are you interested in maybe,"a little more of the same?""  ""I'm not interested in anything else,"" said the man.",GPT_NEO
237,you could say i 'm prone to,the same thing.,GPT_NEO
238,still enfleshed arms and legs abounded,", and the firmness of the body was so great that it was impossible to expect the body to be as strong as it was.",GPT_NEO
239, you 're the one,who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's,GPT_NEO
240," tar would have ruined the box , ''","I'm not sure what you mean by ""the box"" but I think it's a good idea to use the word ""box"" in the sentence.",GPT_NEO
241,i came all the way out here to,see the new one.,GPT_NEO
242,i close and lock the door behind,you.,GPT_NEO
243,the podesta took the parchment,and the parchment was taken to the cabin.,GPT_NEO
244,she could still feel the,heat of the sun on her face.,GPT_NEO
245,"glumly , bowregard continued : anyway , she","as a little bit of a  ""I'm sorry, I'm sorry,",GPT_NEO
246,theres still one thing i,'m not sure about.,GPT_NEO
247,the water that sped toward the,shore.,GPT_NEO
248,an orange glow of heat poured through it,".  ""I'm sorry,"" said the girl,",GPT_NEO
249,he would finally face what had been his,death.,GPT_NEO
250,i cross to him and wrap my arms,around him.,GPT_NEO
251, so ... ''  we 're having a,ot of fun with it.,GPT_NEO
252,"for a moment , the clattering of weapons",and the sound of gunfire.,GPT_NEO
253,"thomas stood , hoping the time for answers had come-or",be-taken.,GPT_NEO
254,he knows the knife he 's holding against my throat,He's got a knife in his hand.,GPT_NEO
255,do n't draw attention to yourselves,"""I'm not going to do anything that you don't want to do,"" he said.",GPT_NEO
256,if anybody expected me to throw myself in his,"face?  I was about to say something to him, but he didn't.",GPT_NEO
257,her heart rolled over,her head.,GPT_NEO
258," stop interrupting me , barns , we","re going to be in the same room, we are going to be in the same room,",GPT_NEO
259, as long as it involves our mutual,understanding of the nature of the universe.,GPT_NEO
260, you feel suffocated,.  The first thing to do is to get your hands on the phone.  The phone is a great way to get your mind off of the situation.  The phone is a great way to get your mind,GPT_NEO
261,"screw wine , chocolate does",not taste like chocolate.,GPT_NEO
262,and i was doing my,best to make it work.,GPT_NEO
263,his english accent was cut-glass if he chose,to use it.,GPT_NEO
264, i did n't realize,that I was doing it wrong.,GPT_NEO
265," director , i 'm guessing this is",he right place to start.,GPT_NEO
266,its no biggy and not,a lot of money.,GPT_NEO
267,it was the most natural,way to get the job done.,GPT_NEO
268,i watched her pull out of the driveway and noticed,that she was wearing a pair of jeans.,GPT_NEO
269, they have no,idea what they are doing.,GPT_NEO
270,other people are people ; while you watch,"the news, you are not watching the news.",GPT_NEO
271," not bad , '' he said ,",' but he was not sure if he was going to be able to do it.,GPT_NEO
272,joel stopped writing and,was about to go to bed when he heard a voice.,GPT_NEO
273,i ... i ... felt sorry,or you.,GPT_NEO
274,"she 'd never seen riley so fierce ,",but she was so strong and so beautiful.,GPT_NEO
275,"jenks said in disgust , his dust like",a sponge.,GPT_NEO
276, if we 're supposed to keep everything,"in the same place, we can't do that.",GPT_NEO
277, you easily accept what some believe,", and that is why I am here.",GPT_NEO
278,"instead he draped her blanket about her shoulders ,","and he kissed her on the cheek, and he kissed her on the lips,",GPT_NEO
279,the rest of his friends,", and he was not a man to be convinced of the truth of the matter.",GPT_NEO
280,"i felt badly for bil y , but",I was not sure if it was a good idea to use it.,GPT_NEO
281,"grabbing my right thigh , he lifted it",and held it up to me.,GPT_NEO
282," and , mae ... '' he started to",ry.,GPT_NEO
283,but she clung to her,"own body, and she was still.",GPT_NEO
284,put your hands between your,knees and your feet.,GPT_NEO
285,"peters leaned over the bed , peered","at the ceiling, and saw the two of them standing on the floor.",GPT_NEO
286,youre not calling the capn,"ieries, but I'm sure they're not.",GPT_NEO
287,"and , '' she continued , hiding a","mile, '' and a smile,",GPT_NEO
288,he grimaced as he raised,his head.,GPT_NEO
289,"not to mention spread , an indie flick",that was released in the UK in the early 1990s.,GPT_NEO
290,she held her phone toward the living room,window.,GPT_NEO
291,"i rushed into my car , i drove","to the hospital, i was in the hospital,",GPT_NEO
292," bingo , '' he says","'' and he says, '' and he says,",GPT_NEO
293," no , i have n't seen that",efore.,GPT_NEO
294, i 'll save your,life.,GPT_NEO
295,he then turned and strode,away.,GPT_NEO
296,there was nowhere to go,but to the city of the future.,GPT_NEO
297,she did n't think her instructions to keep,the house clean were right.,GPT_NEO
298,he tucked a loose strand,of hair behind her ear.,GPT_NEO
299,a buttery warmth invaded him,".  ""I'm sorry,"" he said. ""I'm sorry.""  ""I'm sorry,",GPT_NEO
300,if cigars will do i think we have a,good chance of getting a good cigar.,GPT_NEO
301,"the trouble is , its like",the other one.,GPT_NEO
302,most people with a crumb of sense knew,that the world was a place of death.,GPT_NEO
303,"checking the instrument panel , reed noted that","the instrument panel was not ""instrumented"" and that the instrument panel was not ""instrumented"" by the instrumenter.",GPT_NEO
304,you 're not working tonight,but I'm going to go to the bathroom and wash my hair.,GPT_NEO
305, you like picking up,"a new pair of shoes?  I’m not sure if I’m going to be able to get a pair of shoes for my daughter,",GPT_NEO
306, he blames you for,the death of your father.,GPT_NEO
307,"had to be done , had","to be done, had to be done,",GPT_NEO
308,"no , no ,","o, no,",GPT_NEO
309,"we sat in silence for a while ,",and then I heard a voice.,GPT_NEO
310,it did not look like blood anymore,".  ""I'm sorry,"" he said. ""I didn't mean to hurt you.""  ""I'm sorry,",GPT_NEO
311,"blinked , and there was the barrel of",a gun.,GPT_NEO
312,he groaned and buried his head against,the wall.,GPT_NEO
313,"even so , he had to assume anya",and he was not a man to be,GPT_NEO
314, in time you 'll learn to enjoy it,.  I'm not sure if you're aware of the term 'coconut' or 'coconut oil'. I'm not sure if you're aware of the term 'coconut,GPT_NEO
315,"finally coming unstuck , but still utterly mesmerized",by the beauty of the world.,GPT_NEO
316," coach glazier seems to think so ,","but I don't think it's a good idea to use the word ""sad"" in the same sentence.",GPT_NEO
317,"so , is this place really","the place where the most of the world's population is?  I'm not sure if it's the place where the most of the world's population is,",GPT_NEO
318,how base and embarrassing it often was to,"be seen as a ""foolish"" and ""unworthy"" person.",GPT_NEO
319,"with her bond being severed , she would",be able to return to her home and live with her family.,GPT_NEO
320,i told him ken shubik,", ken shubik,",GPT_NEO
321,it seemed to take him,by surprise.,GPT_NEO
322, would you like me,"?"" ""I'm sorry.",GPT_NEO
323,"eliza thorn , thats my name , i","a little confused about the word ""tribal"", i'm not sure what it means,",GPT_NEO
324,and i wondered what to read into the,question.,GPT_NEO
325,my wolf snapped the spell on our chains,".  ""What are you doing?""  ""I'm trying to get you to stop.""  ""I'm not trying to stop you.""  ""I'm trying to get you to",GPT_NEO
326,he brought his hand,"to his mouth, and he said, ""I'm sorry, but I'm not going to be able to do this.",GPT_NEO
327,"the coyote sat on its haunches , licking",its tongue and licking its tongue.,GPT_NEO
328,when i first started the militia,", I was a little bit scared.",GPT_NEO
329,i 'd better see the,world than the world of the dead.,GPT_NEO
330,his contrition was so immediate and heartfelt that,it was unnecessary to ask the question.,GPT_NEO
331,his eyes flared with,a smile.,GPT_NEO
332, we wo n't bother you,""" ""I'm not going to be able to do that.",GPT_NEO
333,"she nodded apologetically and rushed out , ","and then, as if to say,",GPT_NEO
334,he slowly eased himself up to sit cross-legged beside,the bed.,GPT_NEO
335,"she shook her head , twirling the stem",of her hair in her hands.,GPT_NEO
336,"if that happens , i need you",to do something like this : $(document).,GPT_NEO
337,he figured she 'd need time and since,"she was a little girl, she'd have to be a little girl.",GPT_NEO
338, that will only make,it worse.,GPT_NEO
339,by hollywood standards he would kill,for the next few years.,GPT_NEO
340,i went back to the,house.,GPT_NEO
341,"like hellions , they were strong and ferocious",and they were strong and fierce.,GPT_NEO
342, you want me to go,to the bathroom?  I'm not going to go to the bathroom.,GPT_NEO
343,"with the duchess and her council-nay , the","duchess and her council-nay, the duchess and her council-nay,",GPT_NEO
344,"with the aid of the oculus , she",was able to see the world through the eyes of the human eye.,GPT_NEO
345,hawksworth gingerly sipped the newly fermented palm sap,".  ""I'm sorry, but I don't know what to do,",GPT_NEO
346,madison tucks a strand of her,hair back from her face.,GPT_NEO
347," me , i think you do",not have to be a good person to be a good person.,GPT_NEO
348,"lucas stopped in his tracks and , for","the first time in his life, he was able to see the world.",GPT_NEO
349, pull strings like you,would in a string literal.,GPT_NEO
350, what happened when you looked at,the map.,GPT_NEO
351," well , i left the","house and went to the park, i was in the park,",GPT_NEO
352,the implications were clear,.  The first thing to note is that the first thing to note is that the first thing to note is that the first thing to note is that the first thing to note is that the first thing to note is,GPT_NEO
353,"he was n't used to being told no , and",was told that I was not allowed to use the bathroom.,GPT_NEO
354,johanna perched on the edge,of the cliff.,GPT_NEO
355,what varbaz would do can,be found here: http://www.,GPT_NEO
356,i think i see two guys,who are really good at this.,GPT_NEO
357,colonel brand waited next to the car,".  ""I'm sorry,"" he said. ""I didn't mean to.""  ""I'm sorry,",GPT_NEO
358,the thought was a sharp pain and,I was afraid to go to the bathroom.,GPT_NEO
359,she had never thought of a foot massage,".  ""I'm sorry,"" she said. ""I'm sorry.""  ""I'm sorry,",GPT_NEO
360,it was like i was,in a dream.,GPT_NEO
361,have you ever thought about how strange,"it is to be a little bit of a ""little bit of a ""little bit of a ""little bit of a ""little bit of a ""little bit of a ""little bit of a ""little",GPT_NEO
362,"lucky for me , the man continued on",his way to the airport.,GPT_NEO
363,as langdon led sienna northward along the slender,",",GPT_NEO
364,suddenly nervous and not certain why-but she never,thought of it.,GPT_NEO
365,"were here in an orange truck , a road","in a blue truck, a road in a red truck,",GPT_NEO
366,"the problem was , no one had a",clue what was going on.,GPT_NEO
367,neb narrowed his eyes ; padrick 's stubby pig-like,face was a little more than a little more than a little more than a little more than a little more than a little more than a little more than a little more than a,GPT_NEO
368,he took the spit off to a side,"table, and the two men sat down.",GPT_NEO
369, like he 'd give you a,chance to get it done.,GPT_NEO
370, they 're the,ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who,GPT_NEO
371, i 'll get,you a list of all the items in the list.,GPT_NEO
372,"the room is filled with dancing couples ,",and the music is very loud.,GPT_NEO
373,these are the small single-story brick places that,are the most popular in the city.,GPT_NEO
374,she looked ridiculously cute,".  ""I'm sorry, but I'm not going to be able to help you.""  ""I'm not going to help you,",GPT_NEO
375, a lot of people know different parts,of the story.,GPT_NEO
376,it was at the library ; it,was a good place to start.,GPT_NEO
377," buddy , you can call me colt for",a few minutes.,GPT_NEO
378," you can have a knife , ellie","or a knife, and you can have a knife,",GPT_NEO
379,the news chilled clint like,a cold wind.,GPT_NEO
380,"as we get to the entrance , he removes",the door and opens the door.,GPT_NEO
381,it 's only the newly undead,and the undead are the ones who are the most likely to be killed.,GPT_NEO
