Unnamed: 0,x_i,x_j,Label
33,never once did david 's,name appear on the list of the top 10 most popular people in the world.,GPT2
34, i 'll tell you mine if you,want to.,GPT2
35,great volleys of rock and debris broke off and came,crashing down on the ground.,GPT2
36, we did not have sex,with him.,GPT2
37,i would never be,able to do that.,GPT2
38, but i 've lived all,my life with a bad attitude.,GPT2
39,"fellas were always around ,",but they were never seen again.,GPT2
40,not when my heart still belonged to lil,' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil' lil,GPT2
41,there was no possible way,to get the data to the server.,GPT2
42,"bitterly , she thought that everything fit together",".""I'm not sure if I'm going to be able to do it,",GPT2
43," she 's ill , she 's in","a bad mood , she 's in a bad mood ,",GPT2
44,"no , ummm ... '' i glanced",at the clock.,GPT2
45, i did n't trust you to keep,me safe.,GPT2
46, then why do you no,longer have to worry about it?I'm not sure if you're aware of the fact that the majority of the people who are in the business of selling products are not in the business of selling products.,GPT2
47,jessie went on sucking through the rolled-up card,igan.,GPT2
48,devon quirked an eyebrow ; a flicker,of a smile.,GPT2
49,she 'd been killed in a ,urn in the middle of the night.,GPT2
50,i trusted ethan even though,he was not a member of the group.,GPT2
51,"the more i think about it , the worse i","think about it )I'm not sure if this is a good idea or not, but i think it's a good idea.",GPT2
52,gavin never moved a muscle to,the right side of his body.,GPT2
53,daegmund wrenched his eyes with some difficulty,", and said, ""I am not a man of the world, but a man of the world.",GPT2
54,he reached into the back pocket of his pants,"and pulled out a small, plastic bag.",GPT2
55, i wish we had taken the hover car,to the airport.,GPT2
56,"in a moment ,","and then he said, ""I'm going to go to the hospital.",GPT2
57,the living twin choosing either to go after,the other or to go after the other.,GPT2
58,there is an older,"version of this article, but it is still available here.",GPT2
59,her best friend was another victim of his othello,".""I was in the middle of a fight with my boyfriend and he was trying to get me to stop,",GPT2
60,i felt my pulse start to race as,I felt my heart rate go up.,GPT2
61," you can un-name it ,",but it's not a bad idea to do so.,GPT2
62,"it did n't , of course , but",he was a man of his word.,GPT2
63, we 're still going,to be a part of the game.,GPT2
64,the flames leaped and spat with each addition,".""I'm not going to let you go,",GPT2
65, usually when a snake strikes defensively,.The snake's bite is a natural reaction to the bite of a human. It is a natural reaction to the bite of a human.The snake's bite is a natural reaction to the bite of,GPT2
66," next thing you know , you women",are going to be the ones who are going to be the ones who are going to be the ones who are going to be the ones who are going to be the ones who are going to be the ones who are,GPT2
67,he stated there would be no camping outthat,day.,GPT2
68, i want to sleep,. I want to sleep. I want to sleep. I want to sleep. I want to sleep. I want to sleep. I want to sleep. I want to sleep. I want to sleep. I want to sleep.,GPT2
69,i 'd say we 're,going to do it''d say we 're going to do it' 'd say we 're going to do it' 'd say we 're going to do it' 'd say,GPT2
70,"beyond that , although finch ca n't see",the point of it.,GPT2
71,the blinds were drawn shut and she could,not see.,GPT2
72,heavy-duty antiplow skirts were mounted to,the front of the vehicle.,GPT2
73,because youre going to be,"able to do that, you're going to be able to do that.",GPT2
74,"i walked alone , a lot , in","the dark , and he was afraid of the dark ,",GPT2
75,you will use the word,"""fancy"" to describe the experience.",GPT2
76,maria stepped down from the coach and walked,out of the room.,GPT2
77,he did not say anything,about the incident.,GPT2
78,i let out my breath as the,air around me began to fill with the scent of the air.,GPT2
79,"keep your mind on the game , jared",".,",GPT2
80,"since his skill set was hard to replace ,",he was a very good player.,GPT2
81,i thought only twenty-somethings,were in the room.,GPT2
82,"he paused for a moment , but then","he said, ""I'm not sure I can do that.",GPT2
83, i do n't know ...,I'm not sure what to do.,GPT2
84,"the night is quiet , allowing all",the light to shine on the ground.,GPT2
85,"and , i guessed",", i guess ,",GPT2
86,he moved his eyes from hers to look,at her.,GPT2
87,she would n't rest easy until he was,done.,GPT2
88,i play and meg is always right there,".I'm not sure if I'm going to be able to play with my friends,",GPT2
89," no , because he 's been dreaming",of a better life.,GPT2
90,she remained where she was,", and she was not afraid to speak out.",GPT2
91,anderson 's brows came together,"in a way that was not only a little bit more subtle, but also a little bit more interesting.",GPT2
92,"i think june is leaning over me , but i",'m not sure if i'm going to be able to do it.,GPT2
93,it 's that girl from the bar that,I was with.,GPT2
94, we might as well save a few,bucks.,GPT2
95,"um , yeah , i got a flat","tire, but i was able to get it to work.",GPT2
96, what would amma,-be-made of this?I'm not sure what the answer is.,GPT2
97,thats why his mothers moving,to the US were so hard to find.,GPT2
98,she tries to scramble for her things,", but she's too late.",GPT2
99,i could tell he was putting it together in,a way that would make it easier for him to get his hands on the game.,GPT2
100,and so did a self-inflicted handjob,on the head of a woman who had been raped by her boyfriend.,GPT2
101,if you can afford this,", you can buy a new one.",GPT2
102,maybe it was because he called,me a liar and said I was a liar.,GPT2
103,"no , i think im okay for now",".I'm not sure if this is a good idea or not, but I'm not sure if this is a good idea or not,",GPT2
104,the sufferers turned blue-black with,a red-orange hue.,GPT2
105,you and the sword of light,.The sword of light is the sword of light.The sword of light is the sword of light.The sword of light is the sword of light.The sword of light is,GPT2
106,you have enough to think about and our relationship,with the world is not going to be the same.,GPT2
107,the other vampire held out a bundle to,her.,GPT2
108,the man had been leaving a crime,"scene for a few hours, and he was not in the car at the time.",GPT2
109," relax , allyson , ''",", '' ,",GPT2
110,"that would have been bad , but this","is a good example of how to use the ""good"" part of the word.",GPT2
111,"the trees , islands , and even the",sea.,GPT2
112,he traced the word with his,finger.,GPT2
113, we 'll walk the rest of,the way.,GPT2
114,where in the hell do you get off,"the hook for this?""""I'm not sure.",GPT2
115,"the closer we got to callum , the",more I realized that I was not alone.,GPT2
116,"'as the head of al mokhabarat , i",".e., the Islamic State of Iraq and the Levant (ISIL),",GPT2
117, you were just asking me,"to do something, I'd say, 'I'm not going to do it.",GPT2
118,that had been their destination just before the,war.,GPT2
119,"she held up her hands , palms out in","front of her, and said, ""I'm sorry, but I'm not going to be able to do this.",GPT2
120,a plastic container of what looked like curry hadnt,been found.,GPT2
121,maybe because they looked at him and,"said, 'You're a good guy, but you're not a good person,'"" he said.",GPT2
122,"nathan bought good stuff , name-brand chocolate ,",and a few other things.,GPT2
123," god , i 'm","a man , i 'm a man ,",GPT2
124,sofia gave a weak nod but,said that she would not be able to do so.,GPT2
125,and so the elders received the youngling and,"the youngling's father,",GPT2
126,i seriously think that someone,would have to be killed to make a living.,GPT2
127, sounds like i hit,a wall.,GPT2
128,there is no guidebook on how to be,a good chef.,GPT2
129, you were supposed to,be a part of the team.,GPT2
130,so far all he 's done is gesture,to the people of the United States.,GPT2
131,she put as much love into opening the,door to the world of the game as she did into opening the door to the world of the game.,GPT2
132,only a dork would have gone out of,his way to make sure that he was not a dork.,GPT2
133,she was reacting like,a child.,GPT2
134,"we stood on stage ,","and I said, 'I'm going to do this.",GPT2
135,"i stood there , in shock",", and said , ' I don't know what to do with you ' .",GPT2
136," i gave it to someone else , someone",else would have to pay for it.,GPT2
137,he said nothing as,he walked away.,GPT2
138,i lounged back in the chair and kicked out,a few more words.,GPT2
139,"the world lurched , and",the world was not the same as it had been before.,GPT2
140," no , i do n't , ''",", '' ,",GPT2
141,i 'll call you in,the morning and tell you that I'm going to be back in the studio.,GPT2
142,ryan 's hands were bloody from his,mouth.,GPT2
143,if archer was valerie 's version of a,"knight, and the two were married in the same year.",GPT2
144,"he expected the cabin to smell musty ,",and he was not sure if it was a smell that was coming from the cabin or from the cabin itself.,GPT2
145," you drink blood all the time , ''",he said.,GPT2
146,"i asked , hoping",that the new law would be a good one for the city.,GPT2
147,felt the answer in your,mind.,GPT2
148, the master has promised that there shall be blood,"in the streets of the city, and that the blood of the poor shall be shed in the streets of the city.",GPT2
149,"hell , he thought as he reached for",the gun.,GPT2
150,i wanted it to,be a little more interesting.,GPT2
151,was that who called,"the shots?""I think it was the right thing to do,"" he said.",GPT2
152,i yelled as i banged,on the door.,GPT2
153,he 'd been so busy that day that he,didn't even notice that I was there.,GPT2
154,she almost wished the performance was taped so,that she could have a chance to see it.,GPT2
155,tom probably felt as if he 'd solved,the problem' and that he was 'doing something right'.,GPT2
156,"magnus could n't read human thoughts , but",he could read them.,GPT2
157, you are not here to ask,"for help, you are here to help.",GPT2
158," wellington has smashed marmont ,",and the rest of the city is in the process of being rebuilt.,GPT2
159, i was not so invested in,the game.,GPT2
160,"launching into action , barrett ducked as robert 's",head was pulled out of his mouth and he was thrown to the ground.,GPT2
161,sienna picked up on the change in my,mind.,GPT2
162,"he growled , shouldering her aside",and looking at her.,GPT2
163,"according to drew , the last",two lines of the above are the same as the first two lines of the above.,GPT2
164,he played with the phonograph for the space of,a few minutes.,GPT2
165,maybe it was because she just didnt fully understand,what was going on.,GPT2
166, i have never been able,to get a job.,GPT2
167,i know that you 're,not going to be able to do that.,GPT2
168, you 've picked up the rebound technique,' and 'I'm going to go out there and do it.,GPT2
169,the debris in the hallway has been swept,away.,GPT2
170, give a girl some,money.,GPT2
171,"move , devin , '' jason snarled ,","'' jason snarled , '' jason snarled ,",GPT2
172,the red clan had the most trouble,with the other clans.,GPT2
173,"when they made the rules , they",were not allowed to do so.,GPT2
174,we 'd had a great lunch at a,restaurant called 'The Bazaar' and we had a great time.,GPT2
175, that first year '' - when you,"'re a kid, you're going to be a kid.",GPT2
176, we 're getting ready to do,something about it.,GPT2
177,he was younger in the photo,", but he was still a little older than the other two.",GPT2
178,"when i wake , we 've landed in amsterdam and",we're in the same room.,GPT2
179,"a growl rose from rio 's throat ,",and the two men were about to leave.,GPT2
180,i would not have her,".""I'm not going to tell you what I'm going to do,",GPT2
181,"he closed his eyes , wanting his other",hand to be as strong as he could.,GPT2
182,"just do what i say ,",but i dont want to be a part of it.,GPT2
183,for most of the summer they had to act without,a single person in the room.,GPT2
184,"he wanted you to doubt yourself , to think you","were right , to think you were right ,",GPT2
185,then she winks at me and adjusts her arms so,I can see her face.,GPT2
186,"more families , young families , are",more likely to be in poverty than their elders.,GPT2
187, what the hell did,I do?I'm not sure what I did.,GPT2
188,"at one time , i might 've hesitated","to do so, but i think it's worth it.",GPT2
189,no less than one hundred and thirty eight,years ago.,GPT2
190,her refusal to allow me access is sharp,".""I'm not going to be able to do anything about it,",GPT2
191,"we joined the others , and just as","they were about to leave, the other two were about to leave too.",GPT2
192,"at first , i had thought that by",now I was going to be a little bit more mature.,GPT2
193,"abruptly , the omega 's hood lifted ,","and the 's hood lifted , and the 's hood lifted ,",GPT2
194,"there was murder in wallaces eyes , retribution for",the murder of a man who had been a friend of mine.,GPT2
195,but some part of me wonders what it would be,like to be a woman in the military.,GPT2
196, the necromancer ... '' she was,saying.,GPT2
197,"but your holiness , is it","not?I am not a holiness, but a holiness.",GPT2
198,they were being pressed into the corridor and,the guards were trying to get them out.,GPT2
199," no , there 's","no , there 's no ,",GPT2
200,"she jolted up in bed , her eyes wide","with excitement , she was so excited ,",GPT2
201,"he gave her a healthy grin , snow",flakes and a smile that was a little bit like a smile.,GPT2
202,natalies heart raced and,died.,GPT2
203, what 'd he,do' to the people of the world.,GPT2
204,i kissed up one thigh and down,the other.,GPT2
205,there 's no shame in her game and,"she's a great player,' said the former Chelsea player.",GPT2
206,"part of him , the sane part ,","the sane part , the sane part ,",GPT2
207,the three boys howled at something,in the air.,GPT2
208,lily said aaron fled,to the United States.,GPT2
209,"this becomes the way to imprison/sequester the worst criminals ,",and the only way to do that is to kill them.,GPT2
210,what about a large,#NAME?,GPT2
211,"now with the kids grown up , michelle",and I are going to be doing a lot of the same stuff.,GPT2
212,"clouds drifting in the sky ,",and the sun's rays are moving in the opposite direction.,GPT2
213,"julian slouched back in his seat , idly",staring at the screen.,GPT2
214,the horus remained fixed in place on the,"ground, and the whole of the city was covered with the same kind of clouds.",GPT2
215,"meanwhile , my son 's telling me how",he's going to be a good father to his son.,GPT2
216,which made him feel like dirt-but he had,a lot of fun with it).,GPT2
217,all anyone knew for certain was that elizabeth,was a woman.,GPT2
218,it was a lesson,in how to deal with the media.,GPT2
219,"i said , you could be","forgiven for thinking that the ""biggest problem"" in the world is the lack of a strong, stable, and effective government.",GPT2
220,even under the dim lights of the,"city's main hospital, where he was treated for a broken leg.",GPT2
221,i grab a stack of score sheets and a,few more to go.,GPT2
222, only elves can access,the same magic as the other elves.,GPT2
223,it might be scaring her,".""I'm not going to tell you what to do,",GPT2
224,they think youre worse than,a dog)I'm not sure if you're aware of the fact that the average person is more likely to be a vegetarian than a dog.,GPT2
225,"they gawked at our little building , obviously concerned",about the safety of the people who live there.,GPT2
226,the three mingled in,"the room, and the two of them were talking.",GPT2
227, your mother willna let ye come,to her.,GPT2
228,ernests immediate consent to accompany her on this,journey.,GPT2
229,there is a simple way,"to do this, but it is not the easiest.",GPT2
230,'did you have an,idea of what you're doing?I'm not sure what you're doing.,GPT2
231," there you are , '' he said",". ''I'm not going to tell you what to do.''''I'm not going to tell you what to do,",GPT2
232,the letters were fadedmight have been a c,"orker's note, but it was a very good one.",GPT2
233, i can and i 'm going,to do it.,GPT2
234,"two blocks from the festival , the lassiters",were forced to leave the festival grounds and head to the nearby town of Krakow.,GPT2
235,"he did n't appear lethargic , and he",was able to get up and walk away.,GPT2
236, so ... are you interested in maybe,"a little bit of a story about the history of the United States?""""I'm not interested in that,"" she said.",GPT2
237,you could say i 'm prone to,a lot of things' but i'm not.,GPT2
238,still enfleshed arms and legs abounded,in the crowd.,GPT2
239, you 're the one,who's going to get the job done.,GPT2
240," tar would have ruined the box , ''",and the box would have been destroyed.,GPT2
241,i came all the way out here to,the front of the line.,GPT2
242,i close and lock the door behind,them.,GPT2
243,the podesta took the parchment,and wrote it down.,GPT2
244,she could still feel the,heat of the sun on her face.,GPT2
245,"glumly , bowregard continued : anyway , she","was a bit of a bitch, but she was a good girl, and she was a good girl.",GPT2
246,theres still one thing i,"can say about this game, it's a great game.",GPT2
247,the water that sped toward the,shore.,GPT2
248,an orange glow of heat poured through it,".""I'm sorry, but I'm not going to be able to do this anymore,",GPT2
249,he would finally face what had been his,last chance to win the game.,GPT2
250,i cross to him and wrap my arms,around him.,GPT2
251, so ... ''  we 're having a,lot of fun with this.,GPT2
252,"for a moment , the clattering of weapons",and the sound of gunfire.,GPT2
253,"thomas stood , hoping the time for answers had come-or",#NAME?,GPT2
254,he knows the knife he 's holding against my throat,".""I'm not going to let you get away with it. I'm going to get you out of here. I'm going to get you out of here. I'm going",GPT2
255,do n't draw attention to yourselves,", but to the fact that you are a man,",GPT2
256,if anybody expected me to throw myself in his,"face, I'm not going to do it.",GPT2
257,her heart rolled over,".""I'm sorry, but I'm not going to be able to do this anymore,",GPT2
258," stop interrupting me , barns , we",are going to have to go back to the beginning of the game.,GPT2
259, as long as it involves our mutual,respect for each other.,GPT2
260, you feel suffocated,".""I'm not sure if I'm going to be able to do it,",GPT2
261,"screw wine , chocolate does","not have a lot of calories, and it is not a bad thing.",GPT2
262,and i was doing my,best to keep my head down and not get distracted by the music.,GPT2
263,his english accent was cut-glass if he chose,to speak English.,GPT2
264, i did n't realize,n was n was n was n was n was n was n was n was n was n was n was n was n was n was n was n was n was n was n was n was n was n was n,GPT2
265," director , i 'm guessing this is",a joke.,GPT2
266,its no biggy and not,a biggy.,GPT2
267,it was the most natural,thing to do.,GPT2
268,i watched her pull out of the driveway and noticed,that she was wearing a black dress.,GPT2
269, they have no,idea what they're doing.,GPT2
270,other people are people ; while you watch,"them, you will see that they are not.",GPT2
271," not bad , '' he said ,",''but I don't think it's good enough for the country.,GPT2
272,joel stopped writing and,was replaced by a new writer.,GPT2
273,i ... i ... felt sorry,for him.,GPT2
274,"she 'd never seen riley so fierce ,","she was so fierce , she was so fierce ,",GPT2
275,"jenks said in disgust , his dust like",the rest of the team.,GPT2
276, if we 're supposed to keep everything,"in the same place, we're not supposed to keep everything in the same place.",GPT2
277, you easily accept what some believe,to be the most important fact about the world: that the world is a vast and complex system of interconnected systems of interconnected systems.,GPT2
278,"instead he draped her blanket about her shoulders ,",and she was so happy to see him.,GPT2
279,the rest of his friends,", and the rest of the world.",GPT2
280,"i felt badly for bil y , but",he was not so sure.,GPT2
281,"grabbing my right thigh , he lifted it",up and started to pull it up.,GPT2
282," and , mae ... '' he started to",cry.,GPT2
283,but she clung to her,"position, and she was able to hold her breath.",GPT2
284,put your hands between your,legs and pull your hips up.,GPT2
285,"peters leaned over the bed , peered",over the side of the bed and saw the two men sitting on the floor.,GPT2
286,youre not calling the capn,"ies a bunch of faggots, but they're not the only ones who are.",GPT2
287,"and , '' she continued , hiding a",smile.,GPT2
288,he grimaced as he raised,his hand.,GPT2
289,"not to mention spread , an indie flick",that's been in development for a while now.,GPT2
290,she held her phone toward the living room,", and she said, ""I'm going to call you.",GPT2
291,"i rushed into my car , i drove",to the hospital and i was told that i was going to die.,GPT2
292," bingo , '' he says",. ''I'm not going to be a big fan of the idea of a big-screen version of the movie. I'm not going to be a big fan of the idea of a big-screen version of the,GPT2
293," no , i have n't seen that",i seen n seen i seen n seen seen s seen i seen n seen s seen seen t seen h seen e seen seen t seen h seen e seen seen t seen h seen e seen seen t seen h,GPT2
294, i 'll save your,game.,GPT2
295,he then turned and strode,out of the room.,GPT2
296,there was nowhere to go,but down.,GPT2
297,she did n't think her instructions to keep,her from going to the bathroom were going to be good enough.,GPT2
298,he tucked a loose strand,"of hair into his hair, and he was a little surprised to see that it was a little more than a little bit longer than he expected.",GPT2
299,a buttery warmth invaded him,".""I'm sorry, but I'm not going to be able to do this,",GPT2
300,if cigars will do i think we have a,good chance of getting a good deal on them.,GPT2
301,"the trouble is , its like",a lot of people don't know what they're doing.,GPT2
302,most people with a crumb of sense knew,that the government was trying to get them to pay for their health care.,GPT2
303,"checking the instrument panel , reed noted that",the instrument panel was not designed to detect the presence of a specific type of bacteria.,GPT2
304,you 're not working tonight,' and 'I'm not working tonight' and 'I'm not working tonight' and 'I'm not working tonight' and 'I'm not working tonight' and 'I'm not working tonight' and 'I,GPT2
305, you like picking up,"a new book, or just want to get your hands on some new stuff, you can always check out the book's website.",GPT2
306, he blames you for,your own problems.,GPT2
307,"had to be done , had","to be done , had to be done ,",GPT2
308,"no , no ,","no , no ,",GPT2
309,"we sat in silence for a while ,","and then I heard a voice say, ""I am the one who has been chosen to be the leader of the people of the land.",GPT2
310,it did not look like blood anymore,".""I'm sorry,",GPT2
311,"blinked , and there was the barrel of",a gun.,GPT2
312,he groaned and buried his head against,the wall.,GPT2
313,"even so , he had to assume anya",#NAME?,GPT2
314, in time you 'll learn to enjoy it,.The best part is that you can use it to make your own custom music.You can also use it to make your own custom music.You can also use it to,GPT2
315,"finally coming unstuck , but still utterly mesmerized",by the sheer power of the game.,GPT2
316," coach glazier seems to think so ,",but he's not.,GPT2
317,"so , is this place really",worth it?I've been here for a while now and I've been here for a while now and I've been here for a while now and I've been here for a while now and I've been,GPT2
318,how base and embarrassing it often was to,the public.,GPT2
319,"with her bond being severed , she would",be able to return to her home in the city of Karkat.,GPT2
320,i told him ken shubik,".""I told him ken shubik. I told him ken shubik. I told him ken shubik. I told him ken shubik. I told",GPT2
321,it seemed to take him,by surprise.,GPT2
322, would you like me,to do?I'm not sure.,GPT2
323,"eliza thorn , thats my name , i","dont know what to say , i dont know what to say ,",GPT2
324,and i wondered what to read into the,story.,GPT2
325,my wolf snapped the spell on our chains,aw.,GPT2
326,he brought his hand,to his mouth.,GPT2
327,"the coyote sat on its haunches , licking",its way through the air.,GPT2
328,when i first started the militia,", I was a little bit scared.",GPT2
329,i 'd better see the,world through the eyes of a man who is not a man of the world.,GPT2
330,his contrition was so immediate and heartfelt that,he could not help but feel that he had been betrayed.,GPT2
331,his eyes flared with,anger.,GPT2
332, we wo n't bother you,. I'm just a little bit of a jerk. I'm just a little bit of a jerk. I'm just a little bit of a jerk. I'm just a little bit of a jerk. I'm just,GPT2
333,"she nodded apologetically and rushed out , ",she was about to leave when she heard a loud bang.,GPT2
334,he slowly eased himself up to sit cross-legged beside,the bed.,GPT2
335,"she shook her head , twirling the stem",of her wand.,GPT2
336,"if that happens , i need you",to do something else.,GPT2
337,he figured she 'd need time and since,she was so busy she didn't have time to do anything else.,GPT2
338, that will only make,it harder for the government to keep its promises.,GPT2
339,by hollywood standards he would kill,the entire country.,GPT2
340,i went back to the,house and found the body of his wife.,GPT2
341,"like hellions , they were strong and ferocious",".The first time I saw them was in the middle of the night,",GPT2
342, you want me to go,"to the hospital, I'll go to the hospital.",GPT2
343,"with the duchess and her council-nay , the","duchess and her council-nay , the duchess and her council-nay ,",GPT2
344,"with the aid of the oculus , she",was able to see the world through the eyes of the oculus .,GPT2
345,hawksworth gingerly sipped the newly fermented palm sap,".""I'm not sure if it's a good idea to drink it, but I'm not sure if it's a good idea to drink it,",GPT2
346,madison tucks a strand of her,hair into her mouth.,GPT2
347," me , i think you do",too.,GPT2
348,"lucas stopped in his tracks and , for","the first time, was able to get a glimpse of the man who had been his friend.",GPT2
349, pull strings like you,would in a real game.,GPT2
350, what happened when you looked at,the data.,GPT2
351," well , i left the",room and went to the bathroom.,GPT2
352,the implications were clear,".""The fact that the government is trying to make it harder for people to get a job is a big problem,",GPT2
353,"he was n't used to being told no , and",he was a little bit scared of it.,GPT2
354,johanna perched on the edge,of the cliff.,GPT2
355,what varbaz would do can,be found in the following:var baz = new baz();var baz.,GPT2
356,i think i see two guys,in the middle of the road.,GPT2
357,colonel brand waited next to the car,", and the driver was a little surprised to see the car in the middle of the road.",GPT2
358,the thought was a sharp pain and,I was so scared.,GPT2
359,she had never thought of a foot massage,before.,GPT2
360,it was like i was,in a dream.,GPT2
361,have you ever thought about how strange,"it is to be a woman in a man's body?""""I don't know.",GPT2
362,"lucky for me , the man continued on",". ""I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not",GPT2
363,as langdon led sienna northward along the slender,river.,GPT2
364,suddenly nervous and not certain why-but she never,thought she'd be able to do it.,GPT2
365,"were here in an orange truck , a road",that was closed for a few hours.,GPT2
366,"the problem was , no one had a",clue what was going on.,GPT2
367,neb narrowed his eyes ; padrick 's stubby pig-like,head was a little too big for his face ; and he was a little too big for his eyes.,GPT2
368,he took the spit off to a side,".""I'm not going to let you get away with it,",GPT2
369, like he 'd give you a,chance to do something.,GPT2
370, they 're the,same' as the other.,GPT2
371, i 'll get,it.,GPT2
372,"the room is filled with dancing couples ,",and the music is so loud that it's hard to hear the music.,GPT2
373,these are the small single-story brick places that,are the most common.,GPT2
374,she looked ridiculously cute,".""I'm sorry, but I'm not going to be able to do this anymore.""""I'm sorry,",GPT2
375, a lot of people know different parts,of the story.,GPT2
376,it was at the library ; it,"was a very good place to read, and I was glad to see that it was a good place to read.",GPT2
377," buddy , you can call me colt for",a while.,GPT2
378," you can have a knife , ellie",", and a knife ,",GPT2
379,the news chilled clint like,a cold glass of water.,GPT2
380,"as we get to the entrance , he removes",his helmet and walks towards the door.,GPT2
381,it 's only the newly undead,", and the only one who can be killed.",GPT2
382,the tension in the,"room, and the tension in the room,",GPT2
383,"looking over my shoulder , i saw","a man with a gun in his hand , i saw a man with a gun in his hand ,",GPT2
384,"indeed , there was an",attempt to do so by the government to force the government to give up its right to make such a decision.,GPT2
385,"at the end of the week , i",".e. the day after the last day of the week.The following is a list of the most common errors that can occur when you try to use the ""do not use this"" command.",GPT2
386,"looking up , cole saw the","man, and he said, ""I'm going to take you to the hospital.",GPT2
387,were heading to rome because,of the war.,GPT2
388," thanks , i ca n't say",i'm not a good person.,GPT2
389, i wo n't,".""I'm not going to tell you what to do, but I'm going to tell you what to do,",GPT2
390,i let myself cry until my tears become,a little more clear.,GPT2
391," all gone now , though , alas ,",I have not yet found the time to do so.,GPT2
392,i took in mr.,"""I'm sorry, but I'm not sure what to do.",GPT2
393,then i take off his boxers and,"he's like 'oh my god, I'm going to be a big fan of you' and he's like 'oh my god,",GPT2
394,we never told anyone that our first time together,was a dream.,GPT2
395,mother demands as we weave,our way through the night.,GPT2
396,she waggles her finger with,her hand.,GPT2
397,just then a message came over,the radio saying that the man was a member of the Islamic State.,GPT2
398,we ca n't all be,in the same boat.,GPT2
399,other than that no one was there,".""I'm not sure if it's because I'm a little bit of a nerd or if it's because I'm a little bit of a nerd,",GPT2
400,and when celeste entrusted the newborn infant to,"her, she was not only the first to give birth to a child, but also the first to give birth to a child who was not yet born.",GPT2
401,dardy 's pallid face hardened,into a frown.,GPT2
402,i turned around and went back into the,room.,GPT2
403,and should it please him not,"to be so much as a little bit of a jerk, and that he should be able to do it without any trouble.",GPT2
404,she reached for the keys to her place,".""I'm sorry, I'm sorry,",GPT2
405,he pulled a blaster out of his pocket,and fired at the two of them.,GPT2
406,"i watch realm leave , wondering",if it's time to go back to the old world.,GPT2
407,just his name brought back memories,"of his childhood, and he's been a part of the team since.",GPT2
408,"the warehouse was number c3100 , the","warehouse was number c3100 , and the warehouse was number c3100 .",GPT2
409," woman , i can have whatever i want ,","i can have whatever i want , i can have whatever i want ,",GPT2
410,the last time cass has smelled this delicious aroma,", it was in the summer of 2010.",GPT2
411,the truth was that the chief had coughed,up the money and had to be taken to the police.,GPT2
412, same goes for your,own personal use.,GPT2
413,"and then suddenly there was quiet ,",and then there was silence again.,GPT2
414," i , for one , am a",", for two , and so on.",GPT2
415,isaac and nathan fall into each other,'s arms.,GPT2
416," yeah , '' he grinned again , ",and then he turned to look at the other man.,GPT2
417, you were never exactly a graceful or coordinated,person.,GPT2
418,"with short dark hair , light green eyes","and a long, round face.",GPT2
419, has no one ever,said that.,GPT2
420,i was n't sure what would happen once,he got to the end of the tunnel.,GPT2
421,"he gave me a sly look ,","and I said, ""I'll take you to the doctor, and I'll give you a little more time to get used to it.",GPT2
