Unnamed: 0,x_i,x_j,Label
35,great volleys of rock and debris broke off and came,crashing down into the valley.,Gemini
36, we did not have sex,but we shared a deep connection.,Gemini
37,i would never be,be the same again after witnessing such violence.,Gemini
38, but i 've lived all,my life looking forward to this day.,Gemini
39,"fellas were always around ,",but none ever truly understood me.,Gemini
40,not when my heart still belonged to lil,the love of my life.,Gemini
41,there was no possible way,to know what fate had in store.,Gemini
42,"bitterly , she thought that everything fit together","perfectly, leaving her with a chilling sense of unease.",Gemini
43," she 's ill , she 's in","a coma, and the doctors are doubtful of her survival.",Gemini
44,"no , ummm ... '' i glanced","nervously around the room, unsure of what to expect.",Gemini
45, i did n't trust you to keep,your secrets.,Gemini
46, then why do you no,keep lying to me?,Gemini
47,jessie went on sucking through the rolled-up card,lost in a dark reverie.,Gemini
48,devon quirked an eyebrow ; a flicker,a flicker of amusement danced in his eyes.,Gemini
49,she 'd been killed in a ,a tragic accident.,Gemini
50,i trusted ethan even though,everyone said he was dangerous.,Gemini
51,"the more i think about it , the worse i",feel more and more hopeless.,Gemini
52,gavin never moved a muscle to,help anyone in need.,Gemini
53,daegmund wrenched his eyes with some difficulty,struggling to focus his vision.,Gemini
54,he reached into the back pocket of his pants,"and pulled out a small, worn leather wallet.",Gemini
55, i wish we had taken the hover car,the helicopter would have been much quicker.,Gemini
56,"in a moment ,","she whispered, ""It's time.""",Gemini
57,the living twin choosing either to go after,"the other, leading to a confrontation.",Gemini
58,there is an older,woman living down the street who often watched from her window.,Gemini
59,her best friend was another victim of his othello,a victim of his manipulative games.,Gemini
60,i felt my pulse start to race as,I knew something wasn't right.,Gemini
61," you can un-name it ,",and move on.,Gemini
62,"it did n't , of course , but",it simply didn't make sense.,Gemini
63, we 're still going,"trying our best, despite everything.",Gemini
64,the flames leaped and spat with each addition,the fire roared to life.,Gemini
65, usually when a snake strikes defensively,it's a defensive mechanism.,Gemini
66," next thing you know , you women",you'll wish you hadn't.,Gemini
67,he stated there would be no camping outthat,that under no circumstances would he allow any deviation from the plan.,Gemini
68, i want to sleep,but my mind is racing.,Gemini
69,i 'd say we 're,nearly there.,Gemini
70,"beyond that , although finch ca n't see",he can practically feel their presence.,Gemini
71,the blinds were drawn shut and she could,hear a faint scratching sound.,Gemini
72,heavy-duty antiplow skirts were mounted to,the underside of the vehicle to provide extra protection.,Gemini
73,because youre going to be,a successful entrepreneur.,Gemini
74,"i walked alone , a lot , in","the city streets, contemplating my life.",Gemini
75,you will use the word,ubiquitous.,Gemini
76,maria stepped down from the coach and walked,towards a waiting car.,Gemini
77,he did not say anything,leaving me to wonder what he was thinking.,Gemini
78,i let out my breath as the,the storm clouds cleared.,Gemini
79,"keep your mind on the game , jared",the coach said quietly.,Gemini
80,"since his skill set was hard to replace ,",the company had to make some difficult decisions.,Gemini
81,i thought only twenty-somethings,ever heard of this artist.,Gemini
82,"he paused for a moment , but then",he hesitated before speaking again.,Gemini
83, i do n't know ...,I don't know what to do.,Gemini
84,"the night is quiet , allowing all",the city lights to illuminate the night sky.,Gemini
85,"and , i guessed",that my assumptions were correct.,Gemini
86,he moved his eyes from hers to look,at the approaching figure.,Gemini
87,she would n't rest easy until he was,he was found.,Gemini
88,i play and meg is always right there,playing the game.,Gemini
89," no , because he 's been dreaming",it's a recurring nightmare.,Gemini
90,she remained where she was,trying to regain her composure.,Gemini
91,anderson 's brows came together,a frown of concern.,Gemini
92,"i think june is leaning over me , but i",can't breathe easily.,Gemini
93,it 's that girl from the bar that,I’d seen before.,Gemini
94, we might as well save a few,of our travel budget.,Gemini
95,"um , yeah , i got a flat",then I checked for a spare.,Gemini
96, what would amma,do you think of the situation?,Gemini
97,thats why his mothers moving,because his job required it.,Gemini
98,she tries to scramble for her things,and the realization of what had happened washed over her.,Gemini
99,i could tell he was putting it together in,"his mind’s eye, piecing together the truth.",Gemini
100,and so did a self-inflicted handjob,and so did an overwhelming sense of shame.,Gemini
101,if you can afford this,then it's a worthwhile investment.,Gemini
102,maybe it was because he called,he used the wrong name.,Gemini
103,"no , i think im okay for now","she said, trying to sound unconcerned.",Gemini
104,the sufferers turned blue-black with,severe frostbite.,Gemini
105,you and the sword of light,"together, you are a force to be reckoned with.",Gemini
106,you have enough to think about and our relationship,is the least of my concerns right now.,Gemini
107,the other vampire held out a bundle to,"to the other, a mysterious package.",Gemini
108,the man had been leaving a crime,"scene, leaving behind a cryptic clue.",Gemini
109," relax , allyson , ''",he said calmly.,Gemini
110,"that would have been bad , but this",is even worse.,Gemini
111,"the trees , islands , and even the",ocean stretched out before them.,Gemini
112,he traced the word with his,"finger, lost in thought.",Gemini
113, we 'll walk the rest of,the journey together.,Gemini
114,where in the hell do you get off,telling me what to do?,Gemini
115,"the closer we got to callum , the",more nervous I became.,Gemini
116,"as the head of al mokhabarat , i",I swear I'll bring them to justice.,Gemini
117, you were just asking me,to my surprise?,Gemini
118,that had been their destination just before the,the crash.,Gemini
119,"she held up her hands , palms out in",in silent protest.,Gemini
120,a plastic container of what looked like curry hadnt,been opened.,Gemini
121,maybe because they looked at him and,felt a sense of unease.,Gemini
122,"nathan bought good stuff , name-brand chocolate ,","he boasted, flashing a smug grin.",Gemini
123," god , i 'm",so incredibly relieved.,Gemini
124,sofia gave a weak nod but,"but offered a small, hopeful smile.",Gemini
125,and so the elders received the youngling and,began his rigorous training.,Gemini
126,i seriously think that someone,is out to get me.,Gemini
127, sounds like i hit,a grand slam!,Gemini
128,there is no guidebook on how to be,a truly great leader.,Gemini
129, you were supposed to,be here sooner.,Gemini
130,so far all he 's done is gesture,"made a series of vague, indecipherable gestures.",Gemini
131,she put as much love into opening the,gift with reverence.,Gemini
132,only a dork would have gone out of,his way to make a point.,Gemini
133,she was reacting like,she had seen a ghost.,Gemini
134,"we stood on stage ,",waiting for the lights to dim.,Gemini
135,"i stood there , in shock",in utter disbelief.,Gemini
136," i gave it to someone else , someone",I trusted implicitly.,Gemini
137,he said nothing as,the rain began to fall.,Gemini
138,i lounged back in the chair and kicked out,my feet up on the coffee table.,Gemini
139,"the world lurched , and",the room started to spin.,Gemini
140," no , i do n't , ''",she answered defiantly.,Gemini
141,i 'll call you in,in about half an hour.,Gemini
142,ryan 's hands were bloody from his,a brutal fight.,Gemini
143,if archer was valerie 's version of a,"a charming prince,",Gemini
144,"he expected the cabin to smell musty ,","but instead, it was filled with a strange, sweet scent.",Gemini
145," you drink blood all the time , ''","he hissed, his eyes gleaming.",Gemini
146,"i asked , hoping",for a sign.,Gemini
147,felt the answer in your,own intuition.,Gemini
148, the master has promised that there shall be blood,there would be consequences.,Gemini
149,"hell , he thought as he reached for","the heavy, ornate box.",Gemini
150,i wanted it to,be over quickly.,Gemini
151,was that who called,just called.,Gemini
152,i yelled as i banged,on the door in frustration.,Gemini
153,he 'd been so busy that day that he,he hadn't slept at all.,Gemini
154,she almost wished the performance was taped so,she could review her performance and make adjustments.,Gemini
155,tom probably felt as if he 'd solved,a difficult puzzle.,Gemini
156,"magnus could n't read human thoughts , but",he sensed the undercurrent of deception.,Gemini
157, you are not here to ask,for an explanation.,Gemini
158," wellington has smashed marmont ,",and Napoleon's reign of terror is finally over.,Gemini
159, i was not so invested in,the outcome.,Gemini
160,"launching into action , barrett ducked as robert 's",fist landed squarely on his chin.,Gemini
161,sienna picked up on the change in my,tone of voice.,Gemini
162,"he growled , shouldering her aside",with a snarl.,Gemini
163,"according to drew , the last",sighting of him was months ago.,Gemini
164,he played with the phonograph for the space of,"several minutes, completely lost in the melodies.",Gemini
165,maybe it was because she just didnt fully understand,the full extent of the situation.,Gemini
166, i have never been able,to forgive myself.,Gemini
167,i know that you 're,a very good liar.,Gemini
168, you 've picked up the rebound technique,and are now using them against me.,Gemini
169,the debris in the hallway has been swept,promptly.,Gemini
170, give a girl some,some kindness.,Gemini
171,"move , devin , '' jason snarled ,",Get out of my way!,Gemini
172,the red clan had the most trouble,holding onto their territory.,Gemini
173,"when they made the rules , they",didn’t consider the possibility of failure.,Gemini
174,we 'd had a great lunch at a,charming French restaurant.,Gemini
175, that first year '' - when you,first joined the company?,Gemini
176, we 're getting ready to do,something dangerous.,Gemini
177,he was younger in the photo,his hair was a bit longer then.,Gemini
178,"when i wake , we 've landed in amsterdam and",we'll finally have some time to relax.,Gemini
179,"a growl rose from rio 's throat ,",a sign of impending trouble.,Gemini
180,i would not have her,let her get away.,Gemini
181,"he closed his eyes , wanting his other",other half to come back.,Gemini
182,"just do what i say ,",and don’t even think about arguing.,Gemini
183,for most of the summer they had to act without,without any resources.,Gemini
184,"he wanted you to doubt yourself , to think you",were completely powerless.,Gemini
185,then she winks at me and adjusts her arms so,so she would appear taller.,Gemini
186,"more families , young families , are",moving into the downtown area.,Gemini
187, what the hell did,the hell did that mean?,Gemini
188,"at one time , i might 've hesitated",but I knew that this is something I should have done a long time ago.,Gemini
189,no less than one hundred and thirty eight,people were packed into the small room.,Gemini
190,her refusal to allow me access is sharp,expression of utter defiance.,Gemini
191,"we joined the others , and just as",the lights flickered ominously.,Gemini
192,"at first , i had thought that by","simply dismissing her concerns, I’d created the conditions for catastrophe.",Gemini
193,"abruptly , the omega 's hood lifted ,",face revealed a look of intense fury.,Gemini
194,"there was murder in wallaces eyes , retribution for",a crime that couldn’t be ignored.,Gemini
195,but some part of me wonders what it would be,what it would have been like if I had known better.,Gemini
196, the necromancer ... '' she was,silently casting a dark spell.,Gemini
197,"but your holiness , is it",appropriate?,Gemini
198,they were being pressed into the corridor and,and then a fight broke out.,Gemini
199," no , there 's",more to be done.,Gemini
200,"she jolted up in bed , her eyes wide",with a look of pure terror.,Gemini
201,"he gave her a healthy grin , snow",white flakes dusted his hair.,Gemini
202,natalies heart raced and,and her palms grew sweaty.,Gemini
203, what 'd he,say?,Gemini
204,i kissed up one thigh and down,and then between her legs.,Gemini
205,there 's no shame in her game and,she's unapologetically herself.,Gemini
206,"part of him , the sane part ,",knew this was a terrible idea.,Gemini
207,the three boys howled at something,at a particularly funny sight.,Gemini
208,lily said aaron fled,and went into hiding.,Gemini
209,"this becomes the way to imprison/sequester the worst criminals ,",using advanced technology and psychological manipulation.,Gemini
210,what about a large,a better way to handle this situation.,Gemini
211,"now with the kids grown up , michelle",has decided to pursue her own passions.,Gemini
212,"clouds drifting in the sky ,",a tranquil and serene atmosphere.,Gemini
213,"julian slouched back in his seat , idly",tracing patterns on his coffee cup.,Gemini
214,the horus remained fixed in place on the,"the pedestal, seemingly unmoved.",Gemini
215,"meanwhile , my son 's telling me how",how much he hates his job.,Gemini
216,which made him feel like dirt-but he had,to prove them all wrong.,Gemini
217,all anyone knew for certain was that elizabeth,had vanished without a trace.,Gemini
218,it was a lesson,learned that day.,Gemini
219,"i said , you could be",a suspect in this case.,Gemini
220,even under the dim lights of the,dimly lit room.,Gemini
221,i grab a stack of score sheets and a,pen.,Gemini
222, only elves can access,the royal library.,Gemini
223,it might be scaring her,it might be overwhelming for her.,Gemini
224,they think youre worse than,anyone could ever imagine.,Gemini
225,"they gawked at our little building , obviously concerned",clearly impressed by our work.,Gemini
226,the three mingled in,a comfortable silence.,Gemini
227, your mother willna let ye come,come here.,Gemini
228,ernests immediate consent to accompany her on this,undertaking was met with enthusiasm.,Gemini
229,there is a simple way,to accomplish your goal.,Gemini
230,did you have an,unexpected visitor?,Gemini
231," there you are , '' he said",he said with a relieved smile.,Gemini
232,the letters were fadedmight have been a c,and there might have been a ‘d.’,Gemini
233, i can and i 'm going,to and I will be there.,Gemini
234,"two blocks from the festival , the lassiters",were involved in a terrible accident.,Gemini
235,"he did n't appear lethargic , and he",he was remarkably calm.,Gemini
236, so ... are you interested in maybe,going out sometime?,Gemini
237,you could say i 'm prone to,making impulsive decisions.,Gemini
238,still enfleshed arms and legs abounded,and it was truly horrifying.,Gemini
239, you 're the one,who’s going to save us.,Gemini
240," tar would have ruined the box , ''",it would be ruined.,Gemini
241,i came all the way out here to,see you.,Gemini
242,i close and lock the door behind,and checked the locks.,Gemini
243,the podesta took the parchment,"the ancient scroll, his eyes scanning the faded script.",Gemini
244,she could still feel the,the lingering warmth of his touch.,Gemini
245,"glumly , bowregard continued : anyway , she",she’d gotten into a terrible car accident.,Gemini
246,theres still one thing i,need to do.,Gemini
247,the water that sped toward the,shore was a terrifying sight.,Gemini
248,an orange glow of heat poured through it,filling the small room with warmth.,Gemini
249,he would finally face what had been his,greatest fear.,Gemini
250,i cross to him and wrap my arms,"around his waist, holding him close.",Gemini
251, so ... ''  we 're having a,a party—a surprise party.,Gemini
252,"for a moment , the clattering of weapons",of battle ceased.,Gemini
253,"thomas stood , hoping the time for answers had come-or",at least she hopes it does.,Gemini
254,he knows the knife he 's holding against my throat,is sharp and cold against her skin.,Gemini
255,do n't draw attention to yourselves,and try to blend in with the crowd.,Gemini
256,if anybody expected me to throw myself in his,participate in his foolish schemes.,Gemini
257,her heart rolled over,over in fear.,Gemini
258," stop interrupting me , barns , we",need to get this over with.,Gemini
259, as long as it involves our mutual,best interests.,Gemini
260, you feel suffocated,and longs for a life of freedom.,Gemini
261,"screw wine , chocolate does",it melts away any cares.,Gemini
262,and i was doing my,best work.,Gemini
263,his english accent was cut-glass if he chose,to put on a show.,Gemini
264, i did n't realize,realize how much I'd missed her.,Gemini
265," director , i 'm guessing this is",this is some kind of a joke.,Gemini
266,its no biggy and not,a minor inconvenience.,Gemini
267,it was the most natural,thing to ever happen to me.,Gemini
268,i watched her pull out of the driveway and noticed,she was driving recklessly.,Gemini
269, they have no,idea of what to do.,Gemini
270,other people are people ; while you watch,you judge them.,Gemini
271," not bad , '' he said ,","he said, offering a small smile.",Gemini
272,joel stopped writing and,and looked up at the clock.,Gemini
273,i ... i ... felt sorry,for the victim.,Gemini
274,"she 'd never seen riley so fierce ,",she was so strong and courageous.,Gemini
275,"jenks said in disgust , his dust like",coating his shoes in a thick layer.,Gemini
276, if we 're supposed to keep everything,our secret safe.,Gemini
277, you easily accept what some believe,whatever anyone else believes.,Gemini
278,"instead he draped her blanket about her shoulders ,",and then he pulled a chair up beside her.,Gemini
279,the rest of his friends,were already making plans.,Gemini
280,"i felt badly for bil y , but",but I couldn’t help but feel a sense of responsibility.,Gemini
281,"grabbing my right thigh , he lifted it",and pulled her closer.,Gemini
282," and , mae ... '' he started to",say something that made my heart flutter.,Gemini
283,but she clung to her,"beliefs, despite the evidence.",Gemini
284,put your hands between your,legs.,Gemini
285,"peters leaned over the bed , peered","into the room, his expression thoughtful.",Gemini
286,youre not calling the capn,you landlubber.,Gemini
287,"and , '' she continued , hiding a",secret fear in her heart.,Gemini
288,he grimaced as he raised,"his weapon, a grim expression on his face.",Gemini
289,"not to mention spread , an indie flick",that made everyone want to see it.,Gemini
290,she held her phone toward the living room,aiming it at the TV.,Gemini
291,"i rushed into my car , i drove",as fast as I possibly could.,Gemini
292," bingo , '' he says",he chuckles.,Gemini
293," no , i have n't seen that",that movie.,Gemini
294, i 'll save your,life.,Gemini
295,he then turned and strode,towards the door.,Gemini
296,there was nowhere to go,to turn.,Gemini
297,she did n't think her instructions to keep,everyone silent.,Gemini
298,he tucked a loose strand,of hair that had fallen from her braid.,Gemini
299,a buttery warmth invaded him,spreading through him like wildfire.,Gemini
300,if cigars will do i think we have a,really good time tonight.,Gemini
301,"the trouble is , its like",it's like trying to solve an unsolvable puzzle.,Gemini
302,most people with a crumb of sense knew,knew this was a dangerous game.,Gemini
303,"checking the instrument panel , reed noted that",the fuel gauge was dangerously low.,Gemini
304,you 're not working tonight,you have a prior engagement.,Gemini
305, you like picking up,things that are broken.,Gemini
306, he blames you for,everything that went wrong.,Gemini
307,"had to be done , had","to be done, and there was nothing anyone could do to stop it.",Gemini
308,"no , no ,","he said, his voice tight with frustration.",Gemini
309,"we sat in silence for a while ,",and a heavy silence hung in the air.,Gemini
310,it did not look like blood anymore,"it was some kind of strange, viscous fluid.",Gemini
311,"blinked , and there was the barrel of","a large, menacing figure standing in the doorway.",Gemini
312,he groaned and buried his head against,"his head in his hands, overcome with grief.",Gemini
313,"even so , he had to assume anya",was telling the truth.,Gemini
314, in time you 'll learn to enjoy it,it'll become second nature.,Gemini
315,"finally coming unstuck , but still utterly mesmerized",by the spectacle unfolding before him.,Gemini
316," coach glazier seems to think so ,","he thinks so, too.",Gemini
317,"so , is this place really",haunted?,Gemini
318,how base and embarrassing it often was to,reveal one's deepest insecurities.,Gemini
319,"with her bond being severed , she would",be free.,Gemini
320,i told him ken shubik,was a renowned scientist.,Gemini
321,it seemed to take him,take him a while to process the information.,Gemini
322, would you like me,to go with you?,Gemini
323,"eliza thorn , thats my name , i",I’m a freelance photographer.,Gemini
324,and i wondered what to read into the,subtext of the conversation.,Gemini
325,my wolf snapped the spell on our chains,and I felt a surge of power.,Gemini
326,he brought his hand,"hand to his face, seemingly lost in thought.",Gemini
327,"the coyote sat on its haunches , licking","its tongue, a contented expression on its face.",Gemini
328,when i first started the militia,we had very little training.,Gemini
329,i 'd better see the,evidence.,Gemini
330,his contrition was so immediate and heartfelt that,it was clear that he was truly sorry.,Gemini
331,his eyes flared with,a fierce anger.,Gemini
332, we wo n't bother you,we won't disturb you.,Gemini
333,"she nodded apologetically and rushed out , ",leaving the room in a hurry.,Gemini
334,he slowly eased himself up to sit cross-legged beside,"her, trying to find a comfortable position.",Gemini
335,"she shook her head , twirling the stem","thoughtfully, her eyes distant.",Gemini
336,"if that happens , i need you",to help us get through this.,Gemini
337,he figured she 'd need time and since,he knew she needed her space.,Gemini
338, that will only make,things much worse.,Gemini
339,by hollywood standards he would kill,anyone on set.,Gemini
340,i went back to the,the scene of the crime.,Gemini
341,"like hellions , they were strong and ferocious",and their leader inspired both fear and respect.,Gemini
342, you want me to go,go with me?,Gemini
343,"with the duchess and her council-nay , the",entire kingdom was under siege.,Gemini
344,"with the aid of the oculus , she",she could see into the future.,Gemini
345,hawksworth gingerly sipped the newly fermented palm sap,savoring the exotic flavors.,Gemini
346,madison tucks a strand of her,"hair, her expression thoughtful.",Gemini
347," me , i think you do",I'm a good listener.,Gemini
348,"lucas stopped in his tracks and , for",a moment of reflection.,Gemini
349, pull strings like you,like you do.,Gemini
350, what happened when you looked at,my reflection?,Gemini
351," well , i left the",the scene without a second thought.,Gemini
352,the implications were clear,were immediately apparent.,Gemini
353,"he was n't used to being told no , and",he reacted badly.,Gemini
354,johanna perched on the edge,"the edge of her seat, completely engrossed in the story.",Gemini
355,what varbaz would do can,only be accomplished with great effort.,Gemini
356,i think i see two guys,talking amongst themselves.,Gemini
357,colonel brand waited next to the car,"near the entrance, his expression grim.",Gemini
358,the thought was a sharp pain and,a wave of nausea.,Gemini
359,she had never thought of a foot massage,been more relaxing.,Gemini
360,it was like i was,in a dream.,Gemini
361,have you ever thought about how strange,it is that some things are never as they seem.,Gemini
362,"lucky for me , the man continued on","his story, completely captivated by his narrative.",Gemini
363,as langdon led sienna northward along the slender,"path towards the ancient ruins, and the tension between them hung thick in the air.",Gemini
364,suddenly nervous and not certain why-but she never,looked back.,Gemini
365,"were here in an orange truck , a road",which turned out to be a dead end.,Gemini
366,"the problem was , no one had a",clear plan of action.,Gemini
367,neb narrowed his eyes ; padrick 's stubby pig-like,snout twitched.,Gemini
368,he took the spit off to a side,to the side to avoid getting it on his clothes.,Gemini
369, like he 'd give you a,a second chance.,Gemini
370, they 're the,ones who are in charge.,Gemini
371, i 'll get,back to you.,Gemini
372,"the room is filled with dancing couples ,",and the music was loud enough to make the floor vibrate.,Gemini
373,these are the small single-story brick places that,are abandoned and crumbling.,Gemini
374,she looked ridiculously cute,and was clearly smitten.,Gemini
375, a lot of people know different parts,only a handful of people in the entire organization.,Gemini
376,it was at the library ; it,was a rainy Tuesday afternoon.,Gemini
377," buddy , you can call me colt for",short for Coltrane.,Gemini
378," you can have a knife , ellie",and I'll give you mine.,Gemini
379,the news chilled clint like,a sudden wave of cold.,Gemini
380,"as we get to the entrance , he removes","his coat, revealing a hidden weapon.",Gemini
381,it 's only the newly undead,that have been recently transformed.,Gemini
382,the tension in the,room was palpable.,Gemini
383,"looking over my shoulder , i saw",a shadowy figure lurking in the alleyway.,Gemini
384,"indeed , there was an",alarming discovery.,Gemini
385,"at the end of the week , i",I'll be leaving town.,Gemini
386,"looking up , cole saw the",the fire blazing in the distance.,Gemini
387,were heading to rome because,we're trying to start a new life.,Gemini
388," thanks , i ca n't say",say right now.,Gemini
389, i wo n't,apologize.,Gemini
390,i let myself cry until my tears become,turn into a torrent.,Gemini
391," all gone now , though , alas ,",it’s all been a terrible nightmare.,Gemini
392,i took in mr.,mysterious package.,Gemini
393,then i take off his boxers and,his pants and take a closer look.,Gemini
394,we never told anyone that our first time together,was anything less than incredible.,Gemini
395,mother demands as we weave,through the busy marketplace.,Gemini
396,she waggles her finger with,a sly grin.,Gemini
397,just then a message came over,from an unknown number.,Gemini
398,we ca n't all be,perfect.,Gemini
399,other than that no one was there,that had happened to be out here in the woods.,Gemini
400,and when celeste entrusted the newborn infant to,"her grandmother, who was a renowned midwife.",Gemini
401,dardy 's pallid face hardened,as he steeled himself for what was to come.,Gemini
402,i turned around and went back into the,the dimly lit apartment.,Gemini
403,and should it please him not,I will find another way.,Gemini
404,she reached for the keys to her place,and prepared to leave.,Gemini
405,he pulled a blaster out of his pocket,and pointed it at the intruder.,Gemini
406,"i watch realm leave , wondering",wondering if I'd ever see him again.,Gemini
407,just his name brought back memories,flooding back all at once.,Gemini
408,"the warehouse was number c3100 , the","one of many, identical in appearance.",Gemini
409," woman , i can have whatever i want ,",I can have anything I want.,Gemini
410,the last time cass has smelled this delicious aroma,was the aroma of freshly baked bread.,Gemini
411,the truth was that the chief had coughed,up a violent cough.,Gemini
412, same goes for your,your concerns.,Gemini
413,"and then suddenly there was quiet ,",a heavy silence filled the room.,Gemini
414," i , for one , am a",a firm believer in justice.,Gemini
415,isaac and nathan fall into each other,"arms around each other, lost in a tender embrace.",Gemini
416," yeah , '' he grinned again , ","he winked, a mischievous glint in his eyes.",Gemini
417, you were never exactly a graceful or coordinated,dancer.,Gemini
418,"with short dark hair , light green eyes",and a mysterious air about her.,Gemini
419, has no one ever,ever told you this before?,Gemini
420,i was n't sure what would happen once,I crossed the threshold.,Gemini
421,"he gave me a sly look ,",and a smirk played on his lips.,Gemini
422,his mom turned from the window as,he turned back to gaze out at the stormy ocean.,Gemini
423,"using her momentum , he spun her around",around and around until she was dizzy.,Gemini
424, i thought we already established that the cat,was already outside causing trouble.,Gemini
425,my legs almost gave way as she kissed,"she kissed me, and it was like an electric shock.",Gemini
426,hanging out with caleb and olivia,was always a good time.,Gemini
427,all afternoon he had tried to believe the,the situation would resolve itself.,Gemini
428,"for her sake , though , i tried","to explain it to her, but it was no use.",Gemini
429,"maybe that sounded juvenile , but",but it was the truth.,Gemini
430,some would say he got lost on,the path less traveled.,Gemini
431,a cry of relief,echoed through the cavern.,Gemini
432,"just stab , slice and plop ,",and then he’d be done.,Gemini
433,"and that he had caused it , well ,","they tried to cover it up, but their efforts were in vain.",Gemini
434,"emberlee said cheerfully to him ,","with a bright, encouraging smile.",Gemini
435,"the paramedics could n't tell us anything ,",couldn't give us much information.,Gemini
436,she did not know just how much time actually passed,before she found out the devastating news.,Gemini
437, reasoning with him is,an exercise in futility.,Gemini
438," when really , your",actions have consequences.,Gemini
439,the episode on the kitchen floor was the,worst moment of her life.,Gemini
440,"leisurely , i took in the view of",the sprawling city skyline from her apartment window.,Gemini
441,in my mother 's diary she wrote that,her greatest fear.,Gemini
442,i like to stay on my,my own schedule.,Gemini
443,"my lips moved away from her mouth ,",and a faint blush crept across my cheeks.,Gemini
444,i think back with some shame on the,the mistakes I'd made in the past.,Gemini
445,though at least his father was,a good man at heart.,Gemini
446, what earthly difference can,does it matter now?,Gemini
447,"zack knew , but he was still too",afraid to face the truth.,Gemini
448,you lose -  her sword whistled,"through the air, narrowly missing its target.",Gemini
449,"leo holds up a hand , shutting him","up, silencing him with a look.",Gemini
450,trey traded the wine list for,the dessert menu for a bottle of expensive wine.,Gemini
451,more proof that consultancy is easy,that he could easily handle any task thrown his way.,Gemini
452, i always use twisted gut,instinct.,Gemini
453,i wish i could have done more to,prevent what happened.,Gemini
454,did you get in and decide to talk to,and ask a very important question?,Gemini
455,this is no way to,treat someone so badly.,Gemini
456,"the memory of their first meeting still rankled ,",still haunted her.,Gemini
457,we 're very lucky,to be alive.,Gemini
458," well , i 'm",I'm not sure what to say.,Gemini
459,he opened his eyes to look over at,the woman standing in the doorway.,Gemini
460,i hightail it down to the basement,to hide from the storm raging outside.,Gemini
461, the only truth is that we 're,all going to die.,Gemini
462,"thus , new orleans",is now a ghost town.,Gemini
463,"no brush this time , just being close",just the feeling of intimacy.,Gemini
464,if anyone understood that,that this was their fate.,Gemini
465,"with mia 's surprise party that afternoon ,",they realized it was a trap.,Gemini
466,"he searched the land ,","the vast, desolate landscape, searching for answers.",Gemini
467,"larry , do you remember",what happened that night.,Gemini
468,"at first , it was no more than",a whispered suggestion.,Gemini
469,but there was nothing we,could have done to stop it.,Gemini
470,nor had she been,prepared for such a betrayal.,Gemini
471, lahn - '' i whispered again as,I heard a chilling whisper.,Gemini
472, we have to,find a way out of this mess.,Gemini
473, when patricia told you she was,pregnant.,Gemini
474,"rafe reached over and deftly loaded six bullets ,","into the chamber, his movements precise and efficient.",Gemini
475,you want to destroy it now ... and destroy,destroy everything we've worked for.,Gemini
476,"which was not , in eddie 's","opinion, a complete waste of time.",Gemini
477,"i was n't entirely certain , but",I was on the verge of giving up.,Gemini
478,that meant he was slightly,more nervous than he let on.,Gemini
479,she gave a small sigh of,relief washed over her.,Gemini
